0004	Serpentine Sword	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
0005	Dazzling Sword	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
0006	Wyrm Sword	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
0007	Sacro Sword	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.7	1.1	1	0.7
0015	Criss Sword	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
0016	Paladin Sword	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
0017	Bone Sword	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
0018	Thunder Blade	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
0019	Onyx Sword	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
0020	Rebel Sword	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
0021	Charging Sword	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
0022	Crescent Sword	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
0023	Delusion Sword	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
0039	Exquisite Pistol	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
0040	Exquisite Rifle	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
0041	Laser Gun	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
0042	Venom Gun	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
0043	Firegun of Sol	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
0044	Token Pistol	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
0045	Gattling Firegun	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
0076	Moon Kris	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
0077	Hyena Dagger	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
0078	Dagger of Hydra	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
0079	Trident of Poseidon	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
0083	Crystalline Kris	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
0084	Vampiric Kris	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
0100	Grace Wand	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
0101	Beastly Wand	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
0102	Thundorian Staff	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
0103	Staff of Life	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
0107	Battle Stave	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
0108	Lotus Staff	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
