[03-03 14:04:27]135,Стрела 01, Character ID:1
[03-03 14:04:27]149,Порох 01, Character ID:1
[03-03 14:04:27]200,Левая гипсовая перчатка, Character ID:1
[03-03 14:04:27]201,Левая перчатка драчуна, Character ID:1
[03-03 14:04:27]202,Левая перчатка мастера, Character ID:1
[03-03 14:04:27]203,Левое зубчатое лезвие, Character ID:1
[03-03 14:04:27]204,Левый астральный клинок, Character ID:1
[03-03 14:04:27]205,Левая тигровая перчатка, Character ID:1
[03-03 14:04:27]206,Левая рука смерти, Character ID:1
[03-03 14:04:27]635,Коралл удара 1 ур., Character ID:2
[03-03 14:04:27]636,Коралл удара 2 ур., Character ID:2
[03-03 14:04:27]637,Коралл удара 3 ур., Character ID:2
[03-03 14:04:27]638,Коралл удара 4 ур. , Character ID:2
[03-03 14:04:27]639,Коралл удара 5 ур. , Character ID:2
[03-03 14:04:27]1124,Каменный торс Хаоса, Character ID:1
[03-03 14:04:27]1125,Каменная рука Хаоса, Character ID:1
[03-03 14:04:27]1126,Каменная нога Хаоса, Character ID:1
[03-03 14:04:27]1127,Коронационный камень Хаоса, Character ID:4
[03-03 14:04:27]1999,Неудавшаяся прическа Ланса 1, Character ID:2
[03-03 14:04:27]2000,Прическа 1, Character ID:2
[03-03 14:04:27]2001,Прическа 2, Character ID:2
[03-03 14:04:27]2002,Прическа 3, Character ID:2
[03-03 14:04:27]2003,Прическа 4, Character ID:2
[03-03 14:04:27]2004,Прическа 5, Character ID:2
[03-03 14:04:27]2005,Прическа 6, Character ID:2
[03-03 14:04:27]2006,Прическа 7, Character ID:2
[03-03 14:04:27]2007,Прическа 8, Character ID:2
[03-03 14:04:27]2008,Порученец, Character ID:2
[03-03 14:04:27]2009,Прическа 1, Character ID:2
[03-03 14:04:27]2010,Прическа 1, Character ID:2
[03-03 14:04:27]2011,Прическа 1, Character ID:2
[03-03 14:04:27]2012,Прическа 1, Character ID:2
[03-03 14:04:27]2013,Прическа 1, Character ID:2
[03-03 14:04:27]2014,Прическа 1, Character ID:2
[03-03 14:04:27]2015,Прическа 2, Character ID:2
